eva_row,TP,FP,TN,FN
0,0,762,298,691
1,0,762,445,544
2,0,762,298,691
3,0,762,449,540
4,0,762,298,691
5,0,762,250,739
6,0,762,250,739
7,0,762,250,739
8,0,762,634,355
9,0,762,250,739
10,66,696,39,950
11,0,762,989,0
12,0,762,989,0
13,0,762,792,197
14,539,223,53,936
15,539,223,53,936
16,539,223,53,936
17,539,223,119,870
18,539,223,119,870
19,539,223,119,870
20,386,376,317,672
21,384,378,343,646
22,384,378,364,625
23,384,378,366,623
24,762,0,0,989
25,762,0,0,989
26,762,0,43,946
27,762,0,43,946
28,762,0,43,946
29,762,0,43,946
30,762,0,43,946
31,762,0,43,946
32,762,0,43,946
33,41,721,85,904
34,41,721,186,803
35,4,758,961,28
36,274,488,989,0
37,0,762,974,15
38,0,762,250,739
39,0,762,250,739
40,0,762,250,739
