flow_psh,fpkts_per_second,total_bhlen,flow_iat_max,backward_packet_length_max,forward_iat_std,total_length_of_forward_packets,backward_packet_length_std,forward_iat_min,total_fhlen,total_length_of_backward_packets,total_backward_packets,forward_iat_max,forward_packet_length_mean,backward_iat_min,flow_iat_min,backward_packet_length_min,flow_syn,bpkts_per_second,flow_protocol,forward_iat_total,forward_packet_length_min,backward_iat_max,flow_iat_total,flow_urg,flow_fin,flow_ece,forward_packet_length_std,backward_packet_length_mean,flow_iat_std,flow_ack,backward_iat_total,backward_iat_mean,flow_rst,total_forward_packets,flow_packets_per_second,backward_iat_std,flow_cwr,forward_iat_mean,flow_iat_mean,forward_packet_length_max,reconnaissance,infection,action
0,83.0,2241,0.00922536849975586,66,0.0,120682,0.0,7.510185241699219e-05,135,330,5,0.00922536849975586,1454.0,0.006117820739746094,7.510185241699219e-05,66,0,5.0,6,0.45983147621154785,1454,0.006696939468383789,0.4891533851623535,0,0,0,0.0,66.0,0.0,88,0.02512335777282715,0.01,0,83,88.0,0.0,0,0.01,0.01,1454,0,0,0
0,164.0,4428,0.05131411552429199,66,0.02,238472,0.0,4.410743713378906e-05,135,330,5,0.05131411552429199,1454.0975609756097,2.6941299438476562e-05,4.410743713378906e-05,66,0,5.0,6,4.504018306732178,1454,0.04205822944641113,4.581140756607056,0,0,0,0.62,66.0,0.02,169,0.042710304260253906,0.01,0,164,169.0,0.02,0,0.03,0.03,1458,0,0,0
0,246.0,6642,0.08415913581848145,66,0.03,357700,0.0,3.910064697265625e-05,513,1254,19,0.08415913581848145,1454.0650406504064,1.9073486328125e-05,3.910064697265625e-05,66,0,19.0,6,11.404189348220825,1454,0.07660841941833496,12.724295854568481,0,0,0,0.51,66.0,0.03,265,1.189666509628296,0.06,0,246,265.0,0.03,0,0.05,0.05,1458,0,0,0
2,331.0,8937,0.18961000442504883,66,0.07,478800,0.0,4.1961669921875e-05,567,1386,21,0.18961000442504883,1446.5256797583081,0.0005331039428710938,4.1961669921875e-05,66,0,21.0,6,27.545413494110107,209,0.18245935440063477,29.421979665756226,0,0,0,96.49,66.0,0.07,352,1.732816219329834,0.08,0,331,352.0,0.05,0,0.08,0.08,1458,0,0,0
15,372.0,10044,0.2155139446258545,66,0.08,525196,0.0,4.315376281738281e-05,891,2178,33,0.21482372283935547,1411.8172043010752,0.04147911071777344,4.315376281738281e-05,66,0,33.0,6,36.47547125816345,96,0.2081775665283203,41.12211275100708,0,0,0,230.16,66.0,0.08,405,4.404541015625,0.13,0,372,405.0,0.07,0,0.1,0.1,1458,0,0,0
8,51.0,1377,0.0032668113708496094,-1,0.0,72294,-1,0.00013637542724609375,0,0,0,0.0032668113708496094,1417.5294117647059,-1,0.00013637542724609375,-1,0,0.0,6,0.09643197059631348,66,-1,0.09643197059631348,0,0,0,251.98,0,0.0,51,0,-1,0,51,51.0,-1,0,0.0,0.0,1514,0,0,0
0,1.0,24,-1,-1,0.0,54,-1,-1,0,0,0,-1,54.0,-1,-1,-1,0,0.0,6,0,54,-1,0,0,0,0,0.0,0,0.0,1,0,-1,0,1,1.0,-1,0,0.0,0.0,54,0,1,0
0,1.0,24,-1,-1,0.0,54,-1,-1,0,0,0,-1,54.0,-1,-1,-1,0,0.0,6,0,54,-1,0,0,0,0,0.0,0,0.0,1,0,-1,0,1,1.0,-1,0,0.0,0.0,54,0,1,0
15,371.0,10017,0.2154707908630371,66,0.08,523742,0.0,2.7179718017578125e-05,864,2112,32,0.21478056907653809,1411.7035040431267,0.03429269790649414,2.7179718017578125e-05,66,0,32.0,6,36.4594612121582,96,0.16669845581054688,41.09738540649414,0,0,0,230.46,66.0,0.08,403,3.07720947265625,0.1,0,371,403.0,0.06,0,0.1,0.1,1458,0,0,0
8,50.0,1350,0.0031304359436035156,-1,0.0,72228,-1,3.1948089599609375e-05,0,0,0,0.0031304359436035156,1444.56,-1,3.1948089599609375e-05,-1,0,0.0,6,0.08961319923400879,1018,-1,0.08961319923400879,0,0,0,165.83,0,0.0,50,0,-1,0,50,50.0,-1,0,0.0,0.0,1514,0,0,0
15,370.0,9990,0.21544361114501953,66,0.08,522288,0.0,3.719329833984375e-05,837,2046,31,0.2147533893585205,1411.5891891891893,1.8835067749023438e-05,3.719329833984375e-05,66,0,31.0,6,36.4494047164917,96,0.13240575790405273,41.0377140045166,0,0,0,230.76,66.0,0.08,401,2.0141358375549316,0.06,0,370,401.0,0.06,0,0.1,0.1,1458,0,0,0
8,49.0,1323,0.0030984878540039062,-1,0.0,70714,-1,2.6702880859375e-05,0,0,0,0.0030984878540039062,1443.142857142857,-1,2.6702880859375e-05,-1,0,0.0,6,0.08804774284362793,1018,-1,0.08804774284362793,0,0,0,167.21,0,0.0,49,0,-1,0,49,49.0,-1,0,0.0,0.0,1514,0,0,0
15,369.0,9963,0.2154064178466797,66,0.08,520834,0.0,4.5299530029296875e-05,810,1980,30,0.21471619606018066,1411.4742547425474,1.7642974853515625e-05,4.5299530029296875e-05,66,0,30.0,6,36.4356803894043,96,0.1323869228363037,40.93983602523804,0,0,0,231.06,66.0,0.08,399,2.013570785522461,0.07,0,369,399.0,0.06,0,0.1,0.1,1458,0,0,0
8,48.0,1296,0.0030717849731445312,-1,0.0,69200,-1,6.246566772460938e-05,0,0,0,0.0030717849731445312,1441.6666666666667,-1,6.246566772460938e-05,-1,0,0.0,6,0.08676600456237793,1018,-1,0.08676600456237793,0,0,0,168.63,0,0.0,48,0,-1,0,48,48.0,-1,0,0.0,0.0,1514,0,0,0
15,368.0,9936,0.2153611183166504,66,0.08,519380,0.0,3.695487976074219e-05,783,1914,29,0.21467089653015137,1411.358695652174,1.7404556274414062e-05,3.695487976074219e-05,66,0,29.0,6,36.419010162353516,96,0.1323692798614502,40.83883261680603,0,0,0,231.37,66.0,0.08,397,2.013059139251709,0.07,0,368,397.0,0.06,0,0.1,0.1,1458,0,0,0
7,47.0,1269,0.003009319305419922,-1,0.0,67842,-1,2.384185791015625e-05,0,0,0,0.003009319305419922,1443.4468085106382,-1,2.384185791015625e-05,-1,0,0.0,6,0.08383011817932129,1018,-1,0.08383011817932129,0,0,0,169.97,0,0.0,47,0,-1,0,47,47.0,-1,0,0.0,0.0,1514,0,0,0
15,367.0,9909,0.21532416343688965,66,0.08,517926,0.0,3.647804260253906e-05,756,1848,28,0.21463394165039062,1411.2425068119892,1.7404556274414062e-05,3.647804260253906e-05,66,0,28.0,6,36.40544772148132,96,0.13235187530517578,40.74124360084534,0,0,0,231.67,66.0,0.08,395,2.0125718116760254,0.07,0,367,395.0,0.06,0,0.1,0.1,1458,0,0,0
7,46.0,1242,0.0029854774475097656,-1,0.0,66328,-1,8.463859558105469e-05,0,0,0,0.0029854774475097656,1441.9130434782608,-1,8.463859558105469e-05,-1,0,0.0,6,0.0827333927154541,1018,-1,0.0827333927154541,0,0,0,171.48,0,0.0,46,0,-1,0,46,46.0,-1,0,0.0,0.0,1514,0,0,0
41,441.0,11907,0.5329148769378662,66,0.17,593358,0.0,2.8133392333984375e-05,1377,3366,51,0.5329148769378662,1345.4829931972788,1.7404556274414062e-05,2.8133392333984375e-05,66,0,51.0,6,75.78218412399292,96,0.4472806453704834,92.61264252662659,0,0,0,359.93,66.0,0.18,492,12.599844455718994,0.25,0,441,492.0,0.19,0,0.17,0.19,1458,0,0,0
12,67.0,1809,0.3072090148925781,-1,0.14,92628,-1,0.0005774497985839844,0,0,0,0.3072090148925781,1382.5074626865671,-1,0.0005774497985839844,-1,0,0.0,6,6.809362888336182,66,-1,6.809362888336182,0,1,0,322.58,0,0.14,67,0,-1,0,67,67.0,-1,0,0.1,0.1,1514,0,0,0
0,1.0,24,-1,-1,0.0,54,-1,-1,0,0,0,-1,54.0,-1,-1,-1,0,0.0,6,0,54,-1,0,0,0,0,0.0,0,0.0,1,0,-1,0,1,1.0,-1,0,0.0,0.0,54,0,1,0
5,9.0,216,0.010187387466430664,-1,0.0,514,-1,0.00017261505126953125,0,0,0,0.010187387466430664,57.111111111111114,-1,0.00017261505126953125,-1,0,0.0,6,0.03210735321044922,54,-1,0.03210735321044922,0,0,0,2.85,0,0.0,9,0,-1,0,9,9.0,-1,0,0.0,0.0,61,0,1,0
0,3.0,81,0.00026988983154296875,-1,0.0,357,-1,5.53131103515625e-05,0,0,0,0.00026988983154296875,119.0,-1,5.53131103515625e-05,-1,0,0.0,17,0.00032520294189453125,119,-1,0.00032520294189453125,0,0,0,0.0,0,0.0,0,0,-1,0,3,3.0,-1,0,0.0,0.0,119,0,0,0
0,1.0,24,-1,-1,0.0,54,-1,-1,0,0,0,-1,54.0,-1,-1,-1,0,0.0,6,0,54,-1,0,0,0,0,0.0,0,0.0,0,0,-1,1,1,1.0,-1,0,0.0,0.0,54,1,0,0
0,1.0,25,-1,-1,0.0,58,-1,-1,0,0,0,-1,58.0,-1,-1,-1,1,0.0,6,0,58,-1,0,0,0,0,0.0,0,0.0,0,0,-1,0,1,1.0,-1,0,0.0,0.0,58,1,0,0
0,1.0,25,-1,-1,0.0,58,-1,-1,0,0,0,-1,58.0,-1,-1,-1,1,0.0,6,0,58,-1,0,0,0,0,0.0,0,0.0,0,0,-1,0,1,1.0,-1,0,0.0,0.0,58,1,0,0
41,440.0,11880,0.5328867435455322,66,0.17,591904,0.0,3.361701965332031e-05,1350,3300,50,0.5328867435455322,1345.2363636363636,5.507469177246094e-05,3.361701965332031e-05,66,0,50.0,6,75.76980543136597,96,0.447263240814209,92.51590394973755,0,0,0,360.3,66.0,0.18,490,12.598974227905273,0.25,0,440,490.0,0.19,0,0.17,0.19,1458,0,0,0
11,66.0,1782,0.30663156509399414,-1,0.14,91454,-1,4.744529724121094e-05,0,0,0,0.30663156509399414,1385.6666666666667,-1,4.744529724121094e-05,-1,0,0.0,6,6.771251201629639,66,-1,6.771251201629639,0,1,0,323.98,0,0.14,66,0,-1,0,66,66.0,-1,0,0.1,0.1,1514,0,0,0
0,2.0,54,0.00021457672119140625,-1,0.0,238,-1,0.00021457672119140625,0,0,0,0.00021457672119140625,119.0,-1,0.00021457672119140625,-1,0,0.0,17,0.00021457672119140625,119,-1,0.00021457672119140625,0,0,0,0.0,0,0.0,0,0,-1,0,2,2.0,-1,0,0.0,0.0,119,0,0,0
60,481.0,12987,0.7809643745422363,66,0.23,626884,0.0,3.4809112548828125e-05,1971,4818,73,0.7808823585510254,1303.2931392931393,1.9311904907226562e-05,3.4809112548828125e-05,66,0,73.0,6,107.68225026130676,96,0.698000431060791,142.46856546401978,0,0,0,416.85,66.0,0.25,554,28.729947328567505,0.39,0,481,554.0,0.25,0,0.22,0.26,1458,0,0,0
11,65.0,1755,0.30658411979675293,-1,0.14,89940,-1,4.482269287109375e-05,0,0,0,0.30658411979675293,1383.6923076923076,-1,4.482269287109375e-05,-1,0,0.0,6,6.76816725730896,66,-1,6.76816725730896,0,1,0,326.07,0,0.14,65,0,-1,0,65,65.0,-1,0,0.1,0.1,1514,0,0,0
5,11.0,264,0.21585583686828613,-1,0.09,623,-1,0.0009412765502929688,0,0,0,0.21585583686828613,56.63636363636363,-1,0.0009412765502929688,-1,0,0.0,6,0.6746673583984375,54,-1,0.6746673583984375,0,0,0,2.93,0,0.09,11,0,-1,0,11,11.0,-1,0,0.06,0.06,61,0,1,0
0,1.0,27,-1,-1,0.0,119,-1,-1,0,0,0,-1,119.0,-1,-1,-1,0,0.0,17,0,119,-1,0,0,0,0,0.0,0,0.0,0,0,-1,0,1,1.0,-1,0,0.0,0.0,119,0,0,0
0,2.0,50,8.511543273925781e-05,-1,0.0,116,-1,8.511543273925781e-05,0,0,0,8.511543273925781e-05,58.0,-1,8.511543273925781e-05,-1,2,0.0,6,8.511543273925781e-05,58,-1,8.511543273925781e-05,0,0,0,0.0,0,0.0,0,0,-1,0,2,2.0,-1,0,0.0,0.0,58,1,0,0
0,4.0,100,0.033057451248168945,-1,0.01,232,-1,0.0009210109710693359,0,0,0,0.033057451248168945,58.0,-1,0.0009210109710693359,-1,4,0.0,6,0.03583359718322754,58,-1,0.03583359718322754,0,0,0,0.0,0,0.01,0,0,-1,0,4,4.0,-1,0,0.01,0.01,58,1,0,0
